SOURCE,FIELD_FAMILY,TOTAL_DEFECTS,RUNNING_PCT_OF_TOTAL,DPMO,SIGMA_LEVEL
Carrier Claims,LINE_PRCSG_IND_CD,75497,0.13934734860370254,15905.567317247776,3.655946356770415
Carrier Claims,LINE_ICD9_DGNS_CD,75238,0.27821665220842023,15851.001679736788,3.657330971045024
Carrier Claims,TAX_NUM,75176,0.41697152033075546,15837.939635236089,3.657662993224325
Carrier Claims,PRF_PHYSN_NPI,75169,0.555713468317983,15836.464888276329,3.657700910636412
Carrier Claims,HCPCS_CD,75106,0.6943391350892412,15823.192165638524,3.658039273152746
Carrier Claims,ICD9_DGNS_CD,46708,0.7805496594621533,9840.35442804362,3.8441429319696225
Carrier Claims,LINE_NCH_PMT_AMT,31709,0.8390760257664409,6680.393049559714,3.988327889561314
Carrier Claims,LINE_BENE_PTB_DDCTBL_AMT,20828,0.8775189649126045,4388.004239686831,4.137477671253416
Carrier Claims,LINE_BENE_PRMRY_PYR_PD_AMT,20639,0.9156130604108603,4348.186071773406,4.1406306696898545
Carrier Claims,LINE_ALOWD_CHRG_AMT,17531,0.9479706159212979,3693.3984216415324,4.1965104443966945
Carrier Claims,LINE_COINSRNC_AMT,16775,0.9789327968401041,3534.1257499878334,4.211417920364378
Carrier Claims,CLM_FROM_DT,5707,0.989466398420052,1202.3401284757417,4.552821496308855
Carrier Claims,CLM_THRU_DT,5707,1.0,1202.3401284757417,4.552821496308855
